iter	RMSE
315	1753.314874
316	1752.138049
317	1751.971786
318	1751.273502
319	1749.984386
320	1749.476597
321	1748.351453
322	1747.687169
323	1746.783437
324	1745.744643
325	1744.668675
326	1743.454504
327	1741.657607
328	1740.698591
329	1739.295791
330	1738.868405
331	1738.702815
332	1737.201337
333	1737.163471
334	1736.070095
335	1734.947237
336	1733.716672
337	1732.591097
338	1731.460682
339	1730.6038
340	1729.309919
341	1728.040421
342	1726.967394
343	1725.629735
344	1724.955805
345	1724.062402
346	1723.938357
347	1722.845724
348	1721.811716
349	1721.648259
350	1720.797182
351	1719.911206
352	1719.757386
353	1719.121614
354	1718.022341
355	1716.878122
356	1715.649655
357	1714.421844
358	1712.983968
359	1712.234966
360	1712.202143
361	1710.832186
362	1710.440877
363	1709.260649
364	1708.655379
365	1707.26935
366	1706.249488
367	1705.622185
368	1704.707964
369	1703.779972
370	1703.72502
371	1702.864565
372	1702.017292
373	1701.141747
374	1699.305548
375	1699.21849
376	1698.443736
377	1697.638833
378	1696.797731
379	1696.157358
380	1695.294611
381	1694.356262
382	1693.775663
383	1693.241734
384	1692.365691
385	1691.293844
386	1690.701548
387	1689.889447
388	1688.863867
389	1688.723016
390	1687.79971
391	1687.014506
392	1685.85916
393	1684.958596
394	1684.188734
395	1683.337022
396	1682.221523
397	1681.562285
398	1681.012934
399	1680.639619
400	1680.463233
401	1679.888233
402	1679.501753
403	1678.554745
404	1677.674796
405	1677.197843
406	1676.355975
407	1675.587401
408	1674.824048
409	1674.012597
410	1673.233141
411	1673.100446
412	1672.937439
413	1672.343577
414	1670.883216
415	1670.036866
416	1669.285575
417	1668.374094
418	1667.014979
419	1665.713242
420	1665.109082
421	1664.263516
422	1664.21671
423	1662.781486
424	1661.822587
425	1661.169583
426	1660.370961
427	1660.066872
428	1659.16096
429	1657.800803
430	1657.054909
431	1655.98412
432	1654.258842
433	1653.532538
434	1652.649248
435	1651.550189
436	1651.026325
437	1649.963341
438	1648.58028
439	1648.218841
440	1647.718607
441	1647.145672
442	1646.492795
443	1645.808557
444	1644.810242
445	1643.114982
446	1642.348928
447	1641.480141
448	1640.910461
449	1639.944194
450	1638.8295
451	1638.356657
452	1637.551107
453	1636.686565
454	1636.151512
455	1635.624155
456	1634.940708
457	1634.898497
458	1634.246377
459	1633.262758
460	1632.001401
461	1631.537902
462	1630.796566
463	1630.086327
464	1629.59982
465	1629.589283
466	1629.553438
467	1629.223873
468	1628.469308
469	1628.372638
470	1627.280933
471	1626.740193
472	1626.580347
473	1625.758073
474	1624.916444
475	1624.166227
476	1623.449627
477	1622.640402
478	1621.941772
479	1621.175817
480	1620.792187
481	1620.348367
482	1619.070322
483	1618.379335
484	1618.265605
485	1617.761137
486	1616.101481
487	1615.550395
488	1614.730419
489	1613.92203
490	1612.96942
491	1612.930423
492	1612.116832
493	1611.429589
494	1611.347043
495	1610.512353
496	1609.503336
497	1608.868048
498	1608.776558
499	1608.106144
500	1608.066089
501	1607.149388
502	1605.893492
503	1605.179461
504	1604.432394
505	1603.639126
506	1602.904537
507	1601.664864
508	1600.98965
509	1600.23904
510	1599.73132
511	1599.195109
512	1598.469216
513	1597.985447
514	1597.185589
515	1596.181413
516	1596.153328
517	1595.237101
518	1595.079475
519	1594.17421
520	1593.359905
521	1593.278706
522	1592.700933
523	1591.947137
524	1591.338109
525	1591.256541
526	1590.136368
527	1590.016476
528	1589.286009
529	1589.181941
530	1588.550375
531	1588.059198
532	1586.870353
533	1586.377543
534	1585.764721
535	1585.139126
536	1584.310329
537	1583.747545
538	1583.45456
539	1582.485543
540	1581.877436
541	1581.84131
542	1581.80616
543	1581.287993
544	1580.564172
545	1579.978369
546	1579.565046
547	1579.305296
548	1578.709055
549	1578.335724
550	1578.141188
551	1577.561876
552	1577.358027
553	1576.590875
554	1575.866806
555	1575.37984
556	1574.87659
557	1573.56325
558	1573.066095
559	1572.64521
560	1572.285895
561	1571.928345
562	1571.925785
563	1571.185968
564	1570.28804
565	1569.581426
566	1569.359469
567	1568.799794
568	1568.187315
569	1567.855477
570	1567.262456
571	1566.815126
572	1566.13813
573	1565.097617
574	1564.684216
575	1563.893001
576	1563.165138
577	1562.792895
578	1561.634476
579	1561.628718
580	1561.544537
581	1560.901863
582	1560.320423
583	1559.8115
584	1558.853234
585	1558.214943
586	1557.942725
587	1557.238938
588	1556.533993
589	1556.254951
590	1555.74867
591	1555.255885
592	1554.410531
593	1553.540934
594	1552.882741
595	1551.936054
596	1551.481163
597	1550.646575
598	1549.763588
599	1549.540024
600	1548.5849
601	1548.075904
602	1547.403471
603	1546.798321
604	1546.266426
605	1545.733381
606	1545.307628
607	1544.293447
608	1542.987004
609	1542.493558
610	1541.979528
611	1541.667333
612	1541.147348
613	1540.591668
614	1539.930465
615	1538.992058
616	1538.66769
617	1538.223337
618	1538.217586
619	1537.604791
620	1536.804785
621	1536.457173
622	1535.952863
623	1535.732264
624	1534.939704
625	1534.59028
626	1534.16407
627	1533.85796
628	1533.338875
629	1532.85103
630	1532.549222
631	1532.013949
632	1532.012658
633	1531.547949
634	1531.134434
635	1530.519346
636	1529.800907
637	1529.539467
638	1528.233755
639	1527.81597
640	1527.338782
641	1527.058702
642	1526.545217
643	1525.65702
644	1525.323833
645	1524.47931
646	1523.804943
647	1523.018753
648	1522.482034
649	1521.776308
650	1521.077186
651	1520.607224
652	1519.975892
653	1519.512937
654	1518.849971
655	1518.496541
656	1518.135618
657	1517.531519
658	1517.102898
659	1517.076208
660	1516.624288
661	1516.305202
662	1515.787989
663	1515.366789
664	1515.13392
665	1514.474659
666	1513.655216
667	1513.096044
668	1512.491375
669	1512.399348
670	1511.774763
671	1511.394041
672	1510.492285
673	1510.210163
674	1509.748806
675	1509.701462
676	1509.609856
677	1509.124053
678	1508.672422
679	1507.912912
680	1507.412074
681	1507.355456
682	1506.564346
683	1506.06169
684	1505.846197
685	1504.93924
686	1504.082687
687	1503.57055
688	1502.58755
689	1502.158524
690	1501.995955
691	1501.804833
692	1500.403069
693	1500.28466
694	1499.960847
695	1499.10158
696	1498.412913
697	1497.536953
698	1497.025966
699	1496.922795
700	1496.46485
701	1495.560706
702	1495.131935
703	1495.104174
704	1494.408773
705	1493.752239
706	1492.970955
707	1492.691179
708	1491.966423
709	1491.707321
710	1491.024015
711	1490.487609
712	1489.792074
713	1489.362435
714	1488.868616
715	1487.864517
716	1487.366001
717	1487.130779
718	1486.59936
719	1486.276885
720	1485.74625
721	1484.830215
722	1484.387055
723	1484.350678
724	1483.893901
725	1483.505613
726	1483.200749
727	1482.767733
728	1482.057479
729	1481.436824
730	1481.15405
731	1480.632162
732	1480.629479
733	1480.310728
734	1479.986502
735	1479.413209
736	1479.049318
737	1478.641466
738	1478.198381
739	1478.113041
740	1477.662273
741	1477.252237
742	1477.175383
743	1476.774388
744	1476.518689
745	1476.078341
746	1475.833469
747	1475.564962
748	1475.123478
749	1475.092014
750	1474.764998
751	1474.239056
752	1473.488703
753	1472.855917
754	1472.603859
755	1472.586239
756	1471.901422
757	1471.60379
758	1471.322119
759	1470.74454
760	1470.739165
761	1470.416945
762	1470.096996
763	1469.972823
764	1469.524021
765	1469.519629
766	1468.851951
767	1468.187053
768	1468.182915
769	1467.644862
770	1466.824774
771	1466.82252
772	1466.197578
773	1465.772088
774	1465.245126
775	1464.60194
776	1464.185126
777	1463.938818
778	1463.454752
779	1463.186732
780	1463.182331
781	1462.743611
782	1462.738099
783	1462.472498
784	1461.729445
785	1461.292013
786	1461.045784
787	1460.937817
788	1460.546835
789	1459.778789
790	1459.546685
791	1459.125586
792	1459.058025
793	1458.449207
794	1458.33349
795	1458.011398
796	1457.772533
797	1457.528811
798	1457.511763
799	1457.106453
800	1456.900367
801	1456.248123
802	1455.746573
803	1455.207721
804	1455.016921
805	1454.447028
806	1454.039365
807	1453.443404
808	1453.055694
809	1452.553058
810	1452.157731
811	1451.5756
812	1451.167508
813	1450.647888
814	1450.257421
815	1450.066914
816	1449.74262
817	1449.379387
818	1448.957122
819	1448.936115
820	1448.654789
821	1448.065112
822	1447.804039
823	1447.496316
824	1447.47137
825	1447.145298
826	1446.068392
827	1445.538355
828	1444.737099
829	1444.550169
830	1443.672214
831	1442.999489
832	1442.773888
833	1442.330233
834	1442.165958
835	1441.715854
836	1441.305053
837	1441.132124
838	1440.643606
839	1440.060065
840	1439.810004
841	1439.384872
842	1438.979501
843	1438.339295
844	1438.080949
845	1437.681939
846	1437.241522
847	1436.880988
848	1436.861882
849	1436.365152
850	1435.697422
851	1435.323978
852	1434.960119
853	1434.643783
854	1433.925491
855	1433.716251
856	1433.176839
857	1432.803058
858	1432.367624
859	1432.017143
860	1431.614492
861	1431.387605
862	1431.369316
863	1430.976527
864	1430.319958
865	1430.30279
866	1429.527298
867	1429.523588
868	1429.458603
869	1429.098104
870	1428.546107
871	1428.526573
872	1428.510425
873	1428.058813
874	1428.054505
875	1427.621257
876	1427.297431
877	1426.619687
878	1426.415877
879	1426.021541
880	1425.675088
881	1425.338132
882	1425.061947
883	1424.689419
884	1424.437366
885	1424.214632
886	1423.659007
887	1423.340888
888	1423.067773
889	1422.662204
890	1422.349584
891	1422.152397
892	1421.917458
893	1421.700886
894	1421.110141
895	1420.889992
896	1420.633686
897	1420.344094
898	1419.76772
899	1419.131864
900	1418.417145
901	1418.088031
902	1417.671675
903	1417.653449
904	1417.424839
905	1417.316885
906	1417.041408
907	1416.594203
908	1416.358769
909	1416.17486
910	1415.827933
911	1415.341474
912	1414.820354
913	1414.021118
914	1414.017411
915	1413.849967
916	1413.266844
917	1412.905752
918	1412.900431
919	1412.584925
920	1411.99763
921	1411.702079
922	1411.110389
923	1410.858732
924	1410.357691
925	1409.928701
926	1409.813525
927	1409.141797
928	1409.050021
929	1408.596686
930	1408.329612
931	1407.961352
932	1407.152379
933	1406.831078
934	1406.796737
935	1406.560728
936	1406.353769
937	1405.964782
938	1405.588921
939	1405.040179
940	1404.892882
941	1404.706763
942	1404.388438
943	1404.340231
944	1404.110536
945	1403.392291
946	1402.720773
947	1402.299988
948	1402.0687
949	1402.051301
950	1401.610504
951	1401.312977
952	1401.064778
953	1400.629599
954	1400.342491
955	1399.929942
956	1399.84563
957	1399.482795
958	1399.446733
959	1398.978119
960	1398.682621
961	1398.364871
962	1398.017587
963	1397.56207
964	1397.159748
965	1396.86921
966	1396.575998
967	1396.05003
968	1395.573715
969	1395.164152
970	1395.045472
971	1395.043025
972	1394.837859
973	1394.436326
974	1394.149656
975	1393.691477
976	1393.424605
977	1393.420307
978	1393.054766
979	1392.6723
980	1391.967574
981	1391.96516
982	1391.33007
983	1390.968267
984	1390.667749
985	1390.653443
986	1390.346535
987	1389.762138
988	1389.520905
989	1389.256233
990	1388.833392
991	1388.492219
992	1388.198637
993	1387.781417
994	1387.494427
995	1387.358163
996	1386.944352
997	1386.698682
998	1386.47094
999	1386.132212
